branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-2,9,7287,3.95,6,1551,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-25,2,266,13.53,0,266,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-26,5,11011,1.31,2,6865,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-27,2,322,11.18,0,322,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-29,2,175,20.62,0,175,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-3,3,2273,3.17,2,1253,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-31,5,4648,3.10,4,1941,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-32,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-37,4,4883,2.21,3,1954,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-38,4,2936,3.68,2,1301,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-39,3,1853,3.89,1,1303,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-4,2,2792,1.29,1,2792,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-40,2,1086,3.31,1,1086,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-41,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-42,4,2319,4.66,2,1095,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-43,2,1416,2.54,1,1416,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-44,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-45,2,1136,3.17,1,1136,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-5,5,3281,4.39,3,1011,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-52,2,1212,2.97,1,1212,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-54,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-55,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-0,7,7305,2.96,5,2271,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-1,4,4684,2.31,3,2802,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-10,4,3755,2.88,3,2101,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-11,2,96,37.39,0,96,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-15,6,3406,5.29,3,1175,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-18,6,6256,2.88,3,2424,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-19,2,292,12.33,0,292,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-21,2,3244,1.11,1,3244,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-22,2,460,7.83,0,460,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-23,2,565,6.37,0,565,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-27,2,1025,3.51,1,1025,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-3,5,1646,8.75,0,563,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-37,4,1561,6.92,1,1136,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-39,3,7211,1.00,2,5993,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-4,5,2733,5.27,1,1745,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-40,2,842,4.28,1,842,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-41,5,3025,4.76,2,1463,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-44,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-45,2,2002,1.80,1,2002,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-48,0,0,0.00,0,0,+0.00
