branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-9,6,432,41.70,0,163,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-0,6,880,20.45,0,257,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-1,13,906,47.66,0,183,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-10,6,369,48.72,0,88,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-11,5,316,45.50,0,84,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-12,3,134,53.79,0,76,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-18,3,120,59.80,0,68,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-19,3,121,59.27,0,69,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-2,10,730,44.37,0,122,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-21,3,191,37.74,0,116,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-22,4,244,44.32,0,95,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-23,2,39,93.10,0,39,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-25,3,0,36560.10,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-26,3,0,41306.19,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-28,3,87,82.72,0,87,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-3,7,429,50.30,0,92,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-30,5,170,84.58,0,134,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-32,3,58,123.09,0,58,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-34,4,159,67.86,0,105,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-35,3,39,184.26,0,39,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-36,4,31,343.20,0,31,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-38,3,120,60.14,0,64,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-4,2,14,261.24,0,14,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-40,3,0,49087.45,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-41,6,39,464.89,0,38,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-42,4,64,168.99,0,64,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-43,2,33,110.00,0,33,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-44,4,35,305.57,0,35,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-45,3,687,10.48,0,564,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-46,4,284,37.99,0,144,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-47,3,143,50.46,0,98,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-5,6,488,36.89,0,158,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-6,7,917,23.54,0,265,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-7,7,500,43.22,0,111,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-8,7,454,47.56,0,100,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-9,4,285,37.83,0,127,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-0,13,953,45.33,0,140,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-1,10,834,38.83,0,217,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-10,7,568,38.03,0,120,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-11,2,109,33.14,0,109,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-12,2,100,36.08,0,100,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-16,2,131,27.58,0,131,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-17,2,214,16.86,0,214,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-2,9,471,61.09,0,71,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-20,3,188,38.32,0,143,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-21,2,57,62.69,0,57,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-24,3,267,26.95,0,146,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-27,2,64,56.17,0,64,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-28,2,56,64.26,0,56,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-3,11,808,44.54,0,163,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-32,2,33,110.74,0,33,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-33,3,112,64.09,0,74,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-34,2,108,33.27,0,108,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-35,2,102,35.35,0,102,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-39,0,0,0.00,0,0,+0.00
