branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-55,25,11366,7.60,4,1404,+146.79
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-56,18,7021,8.72,1,882,+144.73
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-57,9,3524,8.17,1,800,+153.89
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-58,28,35240,2.76,4,21979,+154.24
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-59,8,3616,6.97,1,1370,+154.74
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6,9,1481,19.45,0,249,+50.71
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-60,10,4777,6.78,2,1256,+155.12
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-61,17,7449,7.73,1,1306,+162.18
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-62,12,6179,6.41,2,931,+148.18
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-63,5,5330,2.70,3,3208,+158.52
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-64,17,7343,7.84,1,2032,+170.93
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-65,6,3129,5.75,2,1062,+170.27
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-66,5,2155,6.68,1,616,+170.04
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-67,5,1835,7.85,0,550,+172.99
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-68,13,5232,8.26,1,1003,+172.86
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-69,10,4069,7.96,0,553,+171.88
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7,11,2343,15.37,0,329,+44.97
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-70,1,0,0.00,0,0,+168.15
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-71,37,30027,4.32,6,9646,+181.52
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-72,11,4759,7.57,1,1164,+171.64
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-73,3,2725,2.64,2,1402,+169.23
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-74,19,9082,7.13,1,2074,+177.19
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-75,1,0,0.00,0,0,+169.64
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-76,12,4766,8.31,1,722,+176.79
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-77,37,17520,7.40,5,2017,+179.00
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-78,97,49647,6.96,9,4361,+177.00
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-79,8,2576,9.78,0,467,+180.56
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-8,60,13933,15.24,2,1937,+67.06
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-80,2,575,6.26,0,575,+183.12
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-81,82,45056,6.47,13,4519,+184.23
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-82,8,5662,4.45,2,2332,+183.59
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-83,24,14133,5.86,6,3170,+184.23
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-84,18,10679,5.73,2,2872,+178.65
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-85,28,15328,6.34,5,1683,+182.37
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-86,22,11062,6.83,4,700,+184.50
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-87,17,7819,7.37,2,1650,+184.42
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-88,32,16228,6.88,6,1744,+189.62
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-89,23,13660,5.80,7,1756,+185.08
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9,43,13587,11.13,1,781,+98.23
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-90,14,6964,6.72,4,1127,+187.54
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-91,6,2196,8.20,1,653,+181.12
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-92,0,0,0.00,0,0,+0.00
